<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	00:00:00	100000.00	100092.70	99905.20	100079.10	150555	0	0
2024.07.01	04:00:00	100079.05	100182.36	99984.33	100017.76	134785	0	0
2024.07.01	08:00:00	100017.71	100145.81	99881.48	100003.07	138327	0	0
2024.07.01	12:00:00	100003.02	100010.72	99782.23	99827.65	125288	0	0
2024.07.01	16:00:00	99827.60	99827.60	99602.92	99602.92	119947	0	0
2024.07.01	20:00:00	99602.87	99896.80	99586.07	99860.34	162747	0	0
2024.07.02	00:00:00	99860.29	99931.09	99757.23	99774.91	131863	0	0
2024.07.02	04:00:00	99774.86	99833.06	99697.89	99795.73	144692	0	0
2024.07.02	08:00:00	99795.68	99875.96	99749.47	99836.83	146600	0	0
2024.07.02	12:00:00	99836.78	99973.43	99733.52	99968.63	149384	0	0
2024.07.02	16:00:00	99968.58	100044.10	99842.64	99996.95	143147	0	0
2024.07.02	20:00:00	99996.90	99996.90	99753.17	99824.51	125626	0	0
2024.07.03	00:00:00	99824.46	99937.95	99744.93	99872.81	142120	0	0
2024.07.03	04:00:00	99872.76	99884.42	99721.89	99721.89	127718	0	0
2024.07.03	08:00:00	99721.84	99780.71	99623.15	99623.15	132746	0	0
2024.07.03	12:00:00	99623.10	99623.10	99351.77	99355.13	116078	0	0
2024.07.03	16:00:00	99355.08	99448.41	99267.96	99301.14	137411	0	0
2024.07.03	20:00:00	99301.09	99341.08	99189.67	99257.91	138467	0	0
2024.07.04	00:00:00	99257.86	99426.61	99151.80	99375.40	154059	0	0
2024.07.04	04:00:00	99375.35	99521.82	99328.03	99443.63	147177	0	0
2024.07.04	08:00:00	99443.58	99603.99	99306.84	99519.93	150290	0	0
2024.07.04	12:00:00	99519.88	99781.11	99471.10	99770.37	162672	0	0
2024.07.04	16:00:00	99770.32	99975.77	99682.79	99920.57	157780	0	0
2024.07.04	20:00:00	99920.52	99959.57	99596.94	99596.94	110537	0	0
2024.07.05	00:00:00	99596.89	99796.22	99591.04	99744.16	155722	0	0
2024.07.05	04:00:00	99744.11	99890.90	99698.93	99717.18	140012	0	0
2024.07.05	08:00:00	99717.13	99741.68	99516.83	99526.67	123809	0	0
2024.07.05	12:00:00	99526.62	99526.62	99303.89	99378.86	122701	0	0
2024.07.05	16:00:00	99378.81	99461.43	99334.67	99432.35	143497	0	0
2024.07.05	20:00:00	99432.30	99571.49	99300.30	99328.02	132407	0	0
2024.07.06	00:00:00	99327.97	99357.31	99184.14	99219.96	131654	0	0
2024.07.06	04:00:00	99219.91	99259.18	99091.17	99177.49	132807	0	0
2024.07.06	08:00:00	99177.44	99239.79	98988.17	99064.24	131265	0	0
2024.07.06	12:00:00	99064.19	99278.91	99012.44	99273.01	163537	0	0
2024.07.06	16:00:00	99272.96	99501.66	99270.36	99429.82	152272	0	0
2024.07.06	20:00:00	99429.77	99483.71	99334.83	99403.69	136867	0	0
2024.07.07	00:00:00	99403.64	99648.40	99341.86	99625.84	159804	0	0
2024.07.07	04:00:00	99625.79	99753.27	99590.39	99634.59	143265	0	0
2024.07.07	08:00:00	99634.54	99718.37	99551.25	99710.97	150418	0	0
2024.07.07	12:00:00	99710.92	99773.89	99580.59	99703.66	134585	0	0
2024.07.07	16:00:00	99703.61	99874.38	99645.05	99758.12	147986	0	0
2024.07.07	20:00:00	99758.07	99941.11	99649.37	99649.37	131975	0	0
2024.07.08	00:00:00	99649.32	99743.19	99486.86	99505.81	128494	0	0
2024.07.08	04:00:00	99505.76	99583.47	99418.89	99539.31	142215	0	0
2024.07.08	08:00:00	99539.26	99614.55	99427.36	99541.50	143029	0	0
2024.07.08	12:00:00	99541.45	99710.21	99521.62	99663.30	154450	0	0
2024.07.08	16:00:00	99663.25	99749.61	99570.28	99609.78	137268	0	0
2024.07.08	20:00:00	99609.73	99651.78	99509.47	99524.32	128045	0	0
2024.07.09	00:00:00	99524.27	99645.12	99435.84	99491.08	136436	0	0
2024.07.09	04:00:00	99491.03	99544.71	99337.80	99432.85	136967	0	0
2024.07.09	08:00:00	99432.80	99683.36	99416.30	99638.66	163051	0	0
2024.07.09	12:00:00	99638.61	99741.50	99580.70	99718.15	150729	0	0
2024.07.09	16:00:00	99718.10	99949.53	99687.09	99912.58	158051	0	0
2024.07.09	20:00:00	99912.53	99998.04	99754.97	99827.51	133763	0	0
2024.07.10	00:00:00	99827.46	99914.89	99745.83	99804.55	140244	0	0
2024.07.10	04:00:00	99804.50	99804.74	99607.55	99687.23	130798	0	0
2024.07.10	08:00:00	99687.18	99739.54	99503.93	99564.32	128287	0	0
2024.07.10	12:00:00	99564.27	99639.77	99396.34	99562.85	138069	0	0
2024.07.10	16:00:00	99562.80	99585.79	99394.31	99540.34	140509	0	0
2024.07.10	20:00:00	99540.29	99681.46	99494.48	99601.64	148500	0	0
2024.07.11	00:00:00	99601.59	99622.51	99410.77	99452.43	122068	0	0
2024.07.11	04:00:00	99452.38	99504.46	99377.44	99438.65	138261	0	0
2024.07.11	08:00:00	99438.60	99486.31	99228.65	99272.56	125961	0	0
2024.07.11	12:00:00	99272.51	99332.24	99151.18	99302.24	145758	0	0
2024.07.11	16:00:00	99302.19	99337.45	99060.61	99119.82	124088	0	0
2024.07.11	20:00:00	99119.77	99457.57	99066.52	99404.67	170315	0	0
2024.07.12	00:00:00	99404.62	99646.59	99380.87	99587.54	158664	0	0
2024.07.12	04:00:00	99587.49	99587.49	99163.31	99163.31	100307	0	0
2024.07.12	08:00:00	99163.26	99232.14	99068.83	99126.67	138976	0	0
2024.07.12	12:00:00	99126.62	99272.57	99114.22	99164.89	141023	0	0
2024.07.12	16:00:00	99164.84	99195.07	98970.68	98970.68	123189	0	0
2024.07.12	20:00:00	98970.63	99082.87	98950.04	99014.12	147054	0	0
2024.07.13	00:00:00	99014.07	99105.46	98858.53	99022.63	143511	0	0
2024.07.13	04:00:00	99022.58	99111.40	98907.45	98946.39	135196	0	0
2024.07.13	08:00:00	98946.34	98965.01	98617.13	98684.08	116639	0	0
2024.07.13	12:00:00	98684.03	98710.34	98573.73	98668.05	141137	0	0
2024.07.13	16:00:00	98668.00	98698.76	98446.76	98468.91	122946	0	0
2024.07.13	20:00:00	98468.86	98734.03	98442.00	98718.57	164041	0	0
2024.07.14	00:00:00	98718.52	98847.42	98574.92	98574.92	128165	0	0
2024.07.14	04:00:00	98574.87	98619.58	98466.93	98466.93	131731	0	0
2024.07.14	08:00:00	98466.88	98529.69	98346.00	98459.41	142008	0	0
2024.07.14	12:00:00	98459.36	98777.07	98436.36	98716.32	164652	0	0
2024.07.14	16:00:00	98716.27	98718.39	98445.15	98452.03	116371	0	0
2024.07.14	20:00:00	98451.98	98589.32	98352.70	98372.33	131760	0	0
2024.07.15	00:00:00	98372.28	98383.11	98200.37	98229.31	124964	0	0
2024.07.15	04:00:00	98229.26	98354.33	98174.81	98289.86	148755	0	0
2024.07.15	08:00:00	98289.81	98474.93	98244.85	98455.29	155252	0	0
2024.07.15	12:00:00	98455.24	98518.87	98329.14	98365.59	133720	0	0
2024.07.15	16:00:00	98365.54	98377.74	98137.19	98137.19	119980	0	0
2024.07.15	20:00:00	98137.14	98338.07	98130.93	98136.04	142645	0	0
2024.07.16	00:00:00	98135.99	98233.62	98021.38	98134.90	135054	0	0
2024.07.16	04:00:00	98134.85	98177.53	97932.18	97966.27	123121	0	0
2024.07.16	08:00:00	97966.22	98059.37	97872.30	97991.65	144678	0	0
2024.07.16	12:00:00	97991.60	98205.83	97968.29	98151.39	158474	0	0
2024.07.16	16:00:00	98151.34	98267.56	98099.98	98172.21	144882	0	0
2024.07.16	20:00:00	98172.16	98243.58	98008.04	98243.18	147123	0	0
2024.07.17	00:00:00	98243.13	98427.20	98106.80	98423.25	160237	0	0
2024.07.17	04:00:00	98423.20	98436.57	98231.08	98334.09	133424	0	0
2024.07.17	08:00:00	98334.04	98620.80	98316.42	98541.79	162690	0	0
2024.07.17	12:00:00	98541.74	98623.50	98403.22	98486.64	133773	0	0
2024.07.17	16:00:00	98486.59	98656.09	98462.91	98471.02	138595	0	0
2024.07.17	20:00:00	98470.97	98520.29	98362.65	98432.84	138972	0	0
2024.07.18	00:00:00	98432.79	98987.47	98423.54	98933.97	192173	0	0
2024.07.18	04:00:00	98933.92	99153.57	98923.59	99085.83	157856	0	0
2024.07.18	08:00:00	99085.78	99085.78	98921.33	98957.17	129964	0	0
2024.07.18	12:00:00	98957.12	99130.91	98894.92	99116.91	158574	0	0
2024.07.18	16:00:00	99116.86	99116.86	98899.52	98971.99	127968	0	0
2024.07.18	20:00:00	98971.94	99123.36	98872.33	99109.01	154762	0	0
2024.07.19	00:00:00	99108.96	99115.36	98920.07	98920.07	118394	0	0
2024.07.19	04:00:00	98920.02	98932.62	98673.54	98673.54	118247	0	0
