<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	00:00:00	100000.00	100009.83	99979.43	99979.43	6868	0	0
2024.07.01	00:15:00	99979.38	99979.38	99935.78	99959.00	6887	0	0
2024.07.01	00:30:00	99958.95	100034.11	99956.30	100017.91	14801	0	0
2024.07.01	00:45:00	100017.86	100042.32	100013.96	100018.63	8992	0	0
2024.07.01	01:00:00	100018.58	100089.60	100012.73	100066.70	13727	0	0
2024.07.01	01:15:00	100066.65	100066.65	100021.70	100021.70	4440	0	0
2024.07.01	01:30:00	100021.65	100057.38	100017.10	100017.73	8393	0	0
2024.07.01	01:45:00	100017.68	100017.68	99972.73	99972.73	4440	0	0
2024.07.01	02:00:00	99972.68	99972.68	99933.23	99966.95	8352	0	0
2024.07.01	02:15:00	99966.90	99966.90	99921.95	99921.95	4440	0	0
2024.07.01	02:30:00	99921.90	99994.43	99905.20	99974.63	14178	0	0
2024.07.01	02:45:00	99974.58	99978.60	99951.03	99957.25	7192	0	0
2024.07.01	03:00:00	99957.20	100072.56	99945.35	100049.21	18096	0	0
2024.07.01	03:15:00	100049.16	100077.02	100047.91	100048.84	8883	0	0
2024.07.01	03:30:00	100048.79	100083.83	100035.54	100076.68	11704	0	0
2024.07.01	03:45:00	100076.63	100092.70	100051.23	100079.10	9162	0	0
2024.07.01	04:00:00	100079.05	100138.04	100057.25	100117.74	12784	0	0
2024.07.01	04:15:00	100117.69	100117.69	100072.74	100072.74	4440	0	0
2024.07.01	04:30:00	100072.69	100072.69	100036.54	100047.32	6388	0	0
2024.07.01	04:45:00	100047.27	100047.27	100002.32	100002.32	4440	0	0
2024.07.01	05:00:00	100002.27	100040.43	99997.27	100000.53	8751	0	0
2024.07.01	05:15:00	100000.48	100095.29	99984.33	100082.59	17106	0	0
2024.07.01	05:30:00	100082.54	100135.12	100081.79	100112.82	11943	0	0
2024.07.01	05:45:00	100112.77	100112.77	100067.82	100067.82	4440	0	0
2024.07.01	06:00:00	100067.77	100116.04	100045.37	100102.19	12357	0	0
2024.07.01	06:15:00	100102.14	100182.36	100094.49	100147.61	13462	0	0
2024.07.01	06:30:00	100147.56	100147.56	100118.51	100118.75	6044	0	0
2024.07.01	06:45:00	100118.70	100159.05	100099.95	100136.95	10740	0	0
2024.07.01	07:00:00	100136.90	100145.20	100118.45	100133.45	8570	0	0
2024.07.01	07:15:00	100133.40	100133.40	100088.45	100088.45	4440	0	0
2024.07.01	07:30:00	100088.40	100088.40	100043.45	100043.45	4440	0	0
2024.07.01	07:45:00	100043.40	100044.71	100017.76	100017.76	4440	0	0
2024.07.01	08:00:00	100017.71	100027.88	99999.91	100000.78	7232	0	0
2024.07.01	08:15:00	100000.73	100000.73	99955.78	99955.78	4440	0	0
2024.07.01	08:30:00	99955.73	99955.73	99910.78	99910.78	4440	0	0
2024.07.01	08:45:00	99910.73	99946.57	99881.48	99939.87	11829	0	0
2024.07.01	09:00:00	99939.82	100106.23	99934.82	100095.03	24406	0	0
2024.07.01	09:15:00	100094.98	100123.52	100083.02	100111.97	10614	0	0
2024.07.01	09:30:00	100111.92	100145.81	100072.17	100144.51	12174	0	0
2024.07.01	09:45:00	100144.46	100144.46	100103.66	100128.25	7304	0	0
2024.07.01	10:00:00	100128.20	100128.20	100083.25	100083.25	4440	0	0
