<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	100000.00	100221.52	99964.09	100082.27	520305	0	0
2024.01.02	100082.24	100165.63	99890.86	99890.86	492922	0	0
2024.01.03	99890.83	100200.58	99874.53	100047.35	530305	0	0
2024.01.04	100047.32	100147.88	99790.55	99936.42	499137	0	0
2024.01.05	99936.39	100178.63	99823.06	100144.46	531211	0	0
2024.01.06	100144.43	100772.78	100138.13	100540.20	551572	0	0
2024.01.07	100540.17	100596.79	100169.79	100213.95	479606	0	0
2024.01.08	100213.92	100392.09	99948.14	100162.90	505152	0	0
2024.01.09	100162.87	100352.33	100056.87	100210.21	513446	0	0
2024.01.10	100210.18	100524.15	100023.34	100424.34	532836	0	0
2024.01.11	100424.31	100802.92	100401.81	100731.56	536947	0	0
2024.01.12	100731.53	100914.74	100699.96	100803.14	517726	0	0
2024.01.13	100803.11	101067.91	100599.22	100947.14	527159	0	0
2024.01.14	100947.11	100999.47	100755.13	100911.65	496226	0	0
2024.01.15	100911.62	101104.75	100519.75	100519.75	472344	0	0
2024.01.16	100519.72	100568.53	100078.98	100093.79	472318	0	0
2024.01.17	100093.76	100214.70	99869.36	100073.20	505491	0	0
2024.01.18	100073.17	100366.77	99984.91	100316.46	525841	0	0
2024.01.19	100316.43	100412.13	99898.56	99906.58	469224	0	0
2024.01.20	99906.55	99930.24	99523.00	99707.28	492190	0	0
2024.01.21	99707.25	100038.47	99510.78	99713.91	512726	0	0
2024.01.22	99713.88	99733.49	99432.39	99719.21	510651	0	0
2024.01.23	99719.18	99794.63	99533.09	99649.05	504091	0	0
2024.01.24	99649.02	100154.83	99578.08	100151.92	561342	0	0
2024.01.25	100151.89	100295.10	99939.65	100070.34	504938	0	0
2024.01.26	100070.31	100501.33	100023.88	100230.73	530149	0	0
2024.01.27	100230.70	100283.65	99994.75	100220.19	513242	0	0
2024.01.28	100220.16	100594.17	100157.68	100503.77	538301	0	0
2024.01.29	100503.74	100832.71	100501.58	100650.76	522838	0	0
2024.01.30	100650.73	100877.90	100523.74	100765.10	517852	0	0
2024.01.31	100765.07	101030.95	100561.26	101001.16	534675	0	0
2024.02.01	101001.13	101049.81	100818.37	100875.43	498222	0	0
2024.02.02	100875.40	101011.80	100636.58	100899.26	512580	0	0
2024.02.03	100899.23	101253.64	100798.83	101245.82	545665	0	0
2024.02.04	101245.79	101371.52	100964.95	100991.13	489175	0	0
2024.02.05	100991.10	101364.15	100896.21	101176.22	527566	0	0
2024.02.06	101176.19	101285.70	100984.13	101188.24	507708	0	0
2024.02.07	101188.21	101196.71	100947.17	101022.22	496546	0	0
2024.02.08	101022.19	101289.43	100819.83	101175.40	525244	0	0
2024.02.09	101175.37	101273.65	100729.65	100733.14	465268	0	0
2024.02.10	100733.11	100733.11	100057.96	100083.91	444196	0	0
2024.02.11	100083.88	100098.74	99812.73	99861.47	491722	0	0
2024.02.12	99861.44	99861.44	99332.81	99343.75	452260	0	0
2024.02.13	99343.72	99448.46	99051.74	99146.56	487918	0	0
2024.02.14	99146.53	99295.84	99031.81	99180.36	511874	0	0
2024.02.15	99180.33	99237.79	98990.22	99043.22	500870	0	0
2024.02.16	99043.19	99043.19	98348.93	98348.93	435547	0	0
2024.02.17	98348.90	98429.55	98156.64	98239.12	501371	0	0
2024.02.18	98239.09	98263.07	97920.96	98073.79	495955	0	0
2024.02.19	98073.76	98107.33	97780.34	97985.86	498757	0	0
2024.02.20	97985.83	98241.06	97763.19	98091.09	521148	0	0
2024.02.21	98091.06	98123.69	97520.92	97552.67	457542	0	0
2024.02.22	97552.64	97652.65	96957.70	97122.68	470304	0	0
2024.02.23	97122.65	97642.43	97100.84	97611.61	559297	0	0
2024.02.24	97611.58	97984.32	97578.83	97958.79	535850	0	0
2024.02.25	97958.76	97958.76	97580.04	97725.36	487272	0	0
2024.02.26	97725.33	97830.36	97554.62	97613.98	497970	0	0
2024.02.27	97613.95	97929.54	97588.48	97834.52	534931	0	0
2024.02.28	97834.49	98428.31	97833.71	98083.69	539081	0	0
2024.02.29	98083.66	98374.97	98014.52	98273.86	521789	0	0
2024.03.01	98273.83	98282.54	97499.54	97579.16	445390	0	0
2024.03.02	97579.13	97812.68	97345.30	97461.11	499543	0	0
2024.03.03	97461.08	97474.28	97139.65	97319.72	494778	0	0
2024.03.04	97319.69	97349.43	96978.51	97025.07	483944	0	0
2024.03.05	97025.04	97482.49	96972.11	97424.32	549048	0	0
2024.03.06	97424.29	97439.74	97215.25	97298.84	392134	0	0
2024.03.07	97298.81	97700.03	97276.55	97446.22	86399	0	28
2024.03.08	97446.19	97624.62	97344.30	97560.87	85929	0	28
2024.03.09	97560.84	97772.37	97366.35	97651.58	86399	0	28
2024.03.10	97651.55	98409.09	97577.32	98310.80	86362	0	28
2024.03.11	98310.77	98453.70	98100.33	98341.79	86399	0	28
2024.03.12	98341.76	98372.97	97924.36	98017.89	86285	0	28
2024.03.13	98017.86	98365.36	97956.74	98138.47	73813	0	28
2024.03.14	98138.44	98357.74	97867.21	97867.21	86399	0	28
2024.03.15	97867.18	97952.22	97552.16	97573.16	86399	0	28
2024.03.16	97573.13	97707.94	97442.71	97512.36	86399	0	28
2024.03.17	97512.33	97825.70	97342.03	97802.75	80012	0	0
2024.03.18	97802.72	97947.52	97538.54	97770.47	86392	0	28
2024.03.19	97770.44	97884.22	97570.31	97778.29	86399	0	28
2024.03.20	97778.26	98211.01	97579.71	98208.37	86323	0	28
2024.03.21	98208.34	98338.47	97963.75	98314.41	86400	0	28
2024.03.22	98314.38	98885.93	98189.34	98642.44	86210	0	28
2024.03.23	98642.41	98799.74	98478.67	98488.47	86400	0	28
2024.03.24	98488.44	98488.44	97807.13	97840.89	86152	0	28
2024.03.25	97840.86	97840.86	97389.75	97472.19	86279	0	28
2024.03.26	97472.16	97505.40	97170.31	97458.04	86400	0	28
2024.03.27	97458.01	97707.23	97343.62	97683.63	86400	0	28
2024.03.28	97683.60	98230.41	97621.88	98159.80	86399	0	28
2024.03.29	98159.77	98553.10	98074.72	98381.02	84909	0	28
2024.03.30	98380.99	98702.60	98352.39	98629.34	86400	0	28
2024.03.31	98629.31	98691.27	98433.82	98475.19	80398	0	28
2024.04.01	98475.16	98807.05	98466.48	98626.44	86085	0	28
2024.04.02	98626.41	99139.94	98619.78	99062.07	86399	0	42
2024.04.03	99062.04	99536.64	98924.00	99536.07	86400	0	42
2024.04.04	99536.04	99603.50	99143.46	99192.18	86400	0	42
2024.04.05	99192.15	99667.99	99104.55	99397.84	86399	0	42
2024.04.06	99397.81	99792.49	99319.03	99578.44	86400	0	42
2024.04.07	99578.41	99785.79	99479.65	99708.57	85962	0	42
2024.04.08	99708.54	99966.14	99633.22	99705.50	86400	0	42
2024.04.09	99705.47	99705.47	99313.72	99522.40	86399	0	42
2024.04.10	99522.37	99891.71	99321.61	99798.97	86400	0	42
2024.04.11	99798.94	100028.06	99688.71	99714.82	86400	0	42
2024.04.12	99714.79	99880.74	99569.96	99617.50	86399	0	42
2024.04.13	99617.47	99813.21	99476.73	99700.50	84869	0	42
2024.04.14	99700.47	99710.78	99295.28	99370.04	86334	0	42
2024.04.15	99370.01	99805.05	99351.41	99677.66	86147	0	42
2024.04.16	99677.63	99710.33	99410.47	99443.81	86400	0	42
2024.04.17	99443.78	99447.08	99167.09	99429.19	86399	0	42
2024.04.18	99429.16	99690.09	99390.21	99667.25	86400	0	42
2024.04.19	99667.22	99680.30	99257.28	99295.02	86400	0	42
2024.04.20	99294.99	99686.05	99281.04	99682.78	86399	0	42
2024.04.21	99682.75	99682.75	99056.62	99171.79	86248	0	42
2024.04.22	99171.76	99677.43	99159.25	99497.82	86398	0	42
2024.04.23	99497.79	99596.32	99121.30	99226.70	86396	0	42
2024.04.24	99226.67	99381.84	99015.22	99213.12	86400	0	42
2024.04.25	99213.09	99563.83	99108.83	99522.58	86399	0	42
2024.04.26	99522.55	99693.94	99360.03	99628.09	86400	0	42
2024.04.27	99628.06	99645.11	99174.79	99370.49	86399	0	42
2024.04.28	99370.46	99633.60	99295.36	99335.85	86334	0	42
2024.04.29	99335.82	99485.21	99011.29	99058.27	86373	0	42
2024.04.30	99058.24	99367.24	98953.98	98986.05	86399	0	42
2024.05.01	98986.02	99053.23	98821.46	98821.46	86400	0	42
2024.05.02	98821.43	99032.20	98666.22	98699.13	86399	0	42
2024.05.03	98699.10	98870.32	98494.47	98609.75	86400	0	42
2024.05.04	98609.72	98687.20	98216.05	98488.46	86400	0	42
2024.05.05	98488.43	98728.35	98387.90	98586.87	86335	0	42
2024.05.06	98586.84	98635.53	98200.89	98291.54	86196	0	42
2024.05.07	98291.51	98312.42	97919.91	98060.52	86400	0	42
2024.05.08	98060.49	98060.49	97575.30	97584.74	86399	0	42
2024.05.09	97584.71	98016.40	97557.29	97923.58	86400	0	42
2024.05.10	97923.55	98046.34	97712.49	97807.72	86399	0	42
2024.05.11	97807.69	98022.40	97501.54	97502.13	86400	0	42
2024.05.12	97502.10	97928.73	97343.72	97743.95	86329	0	42
2024.05.13	97743.92	97806.96	97266.49	97271.94	86400	0	42
2024.05.14	97271.91	97378.09	96973.14	96978.46	86400	0	42
2024.05.15	96978.43	97586.99	96906.29	97502.16	86399	0	42
2024.05.16	97502.13	97722.10	97382.09	97644.68	86400	0	42
2024.05.17	97644.65	97940.79	97642.46	97751.42	86399	0	42
2024.05.18	97751.39	97838.17	97425.17	97506.79	86400	0	42
2024.05.19	97506.76	97752.31	97394.53	97553.13	86126	0	42
2024.05.20	97553.10	97610.63	97347.41	97347.41	86182	0	42
2024.05.21	97347.38	97483.31	97284.44	97301.44	86400	0	42
2024.05.22	97301.41	97874.46	97232.13	97866.06	86225	0	42
2024.05.23	97866.03	98224.50	97775.77	98149.17	86399	0	42
2024.05.24	98149.14	98385.29	98061.83	98366.82	86400	0	42
2024.05.25	98366.79	98438.38	98143.50	98300.18	86399	0	42
2024.05.26	98300.15	98422.36	98152.88	98350.71	86248	0	42
2024.05.27	98350.68	98424.57	97932.84	98021.65	86399	0	42
