<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	100000.00	100140.64	99124.51	99244.58	743225	0	0
2024.07.02	99244.62	99408.89	98951.55	99082.65	688883	0	0
2024.07.03	99082.69	99354.17	98744.69	99029.11	691130	0	0
2024.07.04	99029.15	99089.23	98682.94	98778.79	706526	0	0
2024.07.05	98778.83	99155.78	98417.28	99040.25	646060	0	0
2024.07.06	99040.29	99376.44	98867.71	99123.95	673307	0	0
2024.07.07	99123.99	99543.20	99083.21	99540.21	631966	0	0
2024.07.08	99540.25	99886.69	99496.83	99669.24	666508	0	0
2024.07.09	99669.28	100089.84	99669.28	99952.92	657616	0	0
2024.07.10	99952.96	100033.12	99589.17	99809.10	700574	0	0
2024.07.11	99809.14	100664.94	99743.14	100639.06	603332	0	0
2024.07.12	100639.10	100739.33	99869.25	99994.77	750133	0	0
2024.07.13	99994.81	100303.76	99797.78	99950.09	685995	0	0
2024.07.14	99950.13	100134.74	99591.45	100016.88	668378	0	0
2024.07.15	100016.92	100184.67	99648.43	99650.31	711493	0	0
2024.07.16	99650.35	99724.11	99314.46	99592.49	688292	0	0
2024.07.17	99592.53	99600.37	98958.04	99292.01	715432	0	0
2024.07.18	99292.05	99806.73	99232.00	99466.22	665718	0	0
2024.07.19	99466.26	99698.96	99260.64	99637.28	661780	0	0
2024.07.20	99637.32	100014.45	99499.87	99909.06	653285	0	0
2024.07.21	99909.10	100077.82	99148.51	99186.35	754213	0	0
2024.07.22	99186.39	99252.99	98589.99	98593.07	739575	0	0
2024.07.23	98593.11	99272.69	98593.11	99124.06	626789	0	0
2024.07.24	99124.10	99609.77	99124.10	99366.86	655410	0	0
2024.07.25	99366.90	99699.88	99120.05	99686.78	654128	0	0
2024.07.26	99686.82	99767.05	99190.07	99270.23	723244	0	0
2024.07.27	99270.27	99758.02	98907.74	99153.52	696991	0	0
2024.07.28	99153.56	99505.20	99129.84	99382.08	660484	0	0
2024.07.29	99382.12	100243.37	99347.89	100148.50	609470	0	0
2024.07.30	100148.54	100908.31	100077.87	100712.60	626378	0	0
2024.07.31	100712.64	100750.68	100405.23	100630.44	689575	0	0
2024.08.01	100630.48	101293.11	100630.48	101101.54	634518	0	0
2024.08.02	101101.58	101195.54	100667.06	100953.07	691429	0	0
2024.08.03	100953.11	101372.53	100908.28	101137.48	662646	0	0
2024.08.04	101137.52	101194.63	100589.28	101121.54	685294	0	0
2024.08.05	101121.58	101257.38	100778.73	100820.23	700821	0	0
2024.08.06	100820.27	101270.14	100728.22	100932.35	674652	0	0
2024.08.07	100932.39	101247.17	100469.20	101239.13	654890	0	0
2024.08.08	101239.17	101284.39	100646.61	100848.10	717749	0	0
2024.08.09	100848.14	100957.60	100299.88	100334.44	708695	0	0
2024.08.10	100334.48	100706.02	100196.12	100385.24	674647	0	0
2024.08.11	100385.28	100700.64	100120.13	100273.49	697023	0	0
2024.08.12	100273.53	101004.74	100182.79	101004.74	608760	0	0
2024.08.13	101004.78	101057.98	100623.99	100642.23	722011	0	0
2024.08.14	100642.27	100731.86	100020.74	100397.56	710283	0	0
2024.08.15	100397.60	100436.08	99785.90	99939.62	722186	0	0
2024.08.16	99939.66	100254.32	99642.33	99661.29	713193	0	0
2024.08.17	99661.33	99988.27	99650.54	99864.52	660855	0	0
2024.08.18	99864.56	100385.17	99787.42	100361.85	634097	0	0
2024.08.19	100361.89	100665.14	100107.88	100644.37	657532	0	0
2024.08.20	100644.41	100892.72	100335.21	100552.56	691562	0	0
2024.08.21	100552.60	100576.83	100019.11	100378.95	702977	0	0
2024.08.22	100378.99	100721.44	100197.76	100307.57	684577	0	0
2024.08.23	100307.61	100308.77	99753.20	100063.28	706019	0	0
2024.08.24	100063.32	100739.78	100063.32	100636.88	621250	0	0
2024.08.25	100636.92	100932.93	100328.06	100369.08	707127	0	0
2024.08.26	100369.12	100423.83	99839.55	100156.20	694873	0	0
2024.08.27	100156.24	100327.85	99829.61	100124.92	689120	0	0
2024.08.28	100124.96	100546.76	99993.26	100263.57	671591	0	0
2024.08.29	100263.61	101056.77	100102.92	100932.94	608025	0	0
2024.08.30	100932.98	101134.29	100553.12	100568.68	716461	0	0
2024.08.31	100568.72	100886.19	100431.32	100883.20	647833	0	0
2024.09.01	100883.24	100982.00	100321.07	100619.10	711890	0	0
2024.09.02	100619.14	100809.21	100249.32	100689.94	678740	0	0
2024.09.03	100689.98	101115.17	100159.55	101115.17	635595	0	0
2024.09.04	101115.21	101640.51	101111.44	101441.85	650764	0	0
2024.09.05	101441.89	102108.07	101304.00	101574.98	664380	0	0
2024.09.06	101575.02	101937.17	101497.20	101793.95	660766	0	0
2024.09.07	101793.99	102025.81	101553.05	101972.92	667447	0	0
2024.09.08	101972.96	102100.79	100316.28	100334.44	845508	0	0
2024.09.09	100334.48	100396.73	100036.45	100396.73	675787	0	0
2024.09.10	100396.77	101032.02	100310.34	100658.45	644790	0	0
2024.09.11	100658.49	100690.77	100307.06	100682.50	636967	0	0
2024.09.12	100682.54	101327.94	100561.77	100995.84	86400	0	64
2024.09.13	100995.88	101378.81	100853.69	100862.49	86399	0	64
2024.09.14	100862.53	100878.93	100382.22	100685.53	86400	0	64
2024.09.15	100685.57	101147.94	100685.57	101082.42	86250	0	64
2024.09.16	101082.46	101625.99	100987.61	101480.14	86399	0	64
2024.09.17	101480.18	101590.38	100994.99	101285.37	86400	0	64
2024.09.18	101285.41	101418.01	100936.97	100951.29	77656	0	64
2024.09.19	100951.33	101478.31	100866.35	101391.44	86399	0	64
2024.09.20	101391.48	101798.97	101290.58	101788.88	86397	0	64
2024.09.21	101788.92	102376.70	101788.92	102042.22	86399	0	64
2024.09.22	102042.26	102358.42	102005.53	102136.67	86166	0	64
2024.09.23	102136.71	102327.49	101958.66	102124.57	86376	0	64
2024.09.24	102124.61	102290.80	101516.85	101573.19	86399	0	64
2024.09.25	101573.23	101673.00	101230.96	101598.23	86368	0	64
2024.09.26	101598.27	101784.02	101373.66	101531.42	86399	0	64
