<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.01	00:00:00	100000.00	100035.96	100000.00	100035.96	3555	0	0
2024.07.01	00:15:00	100036.00	100071.96	100036.00	100071.96	3555	0	0
2024.07.01	00:30:00	100072.00	100107.96	100072.00	100107.96	3555	0	0
2024.07.01	00:45:00	100108.00	100140.64	100015.59	100016.43	16292	0	0
2024.07.01	01:00:00	100016.47	100048.59	99952.01	99952.69	13513	0	0
2024.07.01	01:15:00	99952.73	99971.65	99894.99	99900.27	12381	0	0
2024.07.01	01:30:00	99900.31	99925.87	99880.81	99891.17	8057	0	0
2024.07.01	01:45:00	99891.21	99920.73	99821.68	99823.84	13872	0	0
2024.07.01	02:00:00	99823.88	99859.84	99823.88	99859.84	3555	0	0
2024.07.01	02:15:00	99859.88	99860.32	99744.33	99773.73	15686	0	0
2024.07.01	02:30:00	99773.77	99790.33	99754.18	99773.54	7166	0	0
2024.07.01	02:45:00	99773.58	99799.94	99740.22	99749.78	3555	0	0
2024.07.01	03:00:00	99749.82	99763.02	99700.96	99708.20	11297	0	0
2024.07.01	03:15:00	99708.24	99744.20	99708.24	99744.20	3555	0	0
2024.07.01	03:30:00	99744.24	99758.84	99732.90	99754.22	6145	0	0
2024.07.01	03:45:00	99754.26	99790.22	99754.26	99790.22	3555	0	0
2024.07.01	04:00:00	99790.26	99826.22	99790.26	99826.22	3555	0	0
2024.07.01	04:15:00	99826.26	99855.70	99813.82	99820.30	7739	0	0
2024.07.01	04:30:00	99820.34	99856.30	99820.34	99856.30	3555	0	0
2024.07.01	04:45:00	99856.34	99869.90	99788.48	99807.52	12017	0	0
2024.07.01	05:00:00	99807.56	99843.52	99807.56	99843.52	3555	0	0
2024.07.01	05:15:00	99843.56	99879.52	99843.56	99879.52	3555	0	0
2024.07.01	05:30:00	99879.56	99915.52	99879.56	99915.52	3555	0	0
2024.07.01	05:45:00	99915.56	99940.84	99907.42	99918.06	6893	0	0
2024.07.01	06:00:00	99918.10	99930.46	99845.32	99854.04	13541	0	0
2024.07.01	06:15:00	99854.08	99859.00	99762.85	99772.41	12973	0	0
2024.07.01	06:30:00	99772.45	99805.93	99772.45	99782.19	6169	0	0
2024.07.01	06:45:00	99782.23	99791.79	99762.46	99788.82	3555	0	0
2024.07.01	07:00:00	99788.86	99824.82	99788.86	99824.82	3555	0	0
2024.07.01	07:15:00	99824.86	99860.82	99824.86	99860.82	3555	0	0
2024.07.01	07:30:00	99860.86	99896.82	99860.86	99896.82	3555	0	0
2024.07.01	07:45:00	99896.86	99911.98	99821.87	99834.67	13354	0	0
2024.07.01	08:00:00	99834.71	99839.27	99738.81	99748.45	15761	0	0
2024.07.01	08:15:00	99748.49	99780.65	99748.49	99759.08	6084	0	0
